,p5,median,p95
1750.5,0.0,0.0,0.0
1751.5,-3.755763517798716e-06,-2.640361893263554e-06,-1.4357387243205816e-06
1752.5,-1.3294916445458216e-05,-9.733353705354553e-06,-6.040682931725619e-06
1753.5,-2.0854691306346207e-05,-1.5658775594812324e-05,-1.089577171242001e-05
1754.5,-1.558779662372972e-05,-9.309689834299806e-06,-4.083383752198633e-06
1755.5,5.398948518600677e-07,1.0279441004693024e-05,1.8635283666468272e-05
1756.5,2.0151844724232773e-05,3.4628357313132296e-05,4.859316784783935e-05
1757.5,4.8113239547545664e-05,7.079360548392644e-05,9.594703034902091e-05
1758.5,8.674545350745647e-05,0.0001212801973963732,0.00016231253512739852
1759.5,0.0001324352139916614,0.00017981453784998193,0.00023763863596459878
1760.5,0.00018646797410695054,0.0002513160492011862,0.0003286850634772326
1761.5,0.00024832924629204084,0.0003341780209453471,0.0004350518952729032
1762.5,0.00031271469155163406,0.00041984875698951665,0.0005472066345596563
1763.5,0.00037697973348447406,0.0005053766784829106,0.0006612711625879064
1764.5,0.00043566567307820776,0.000584984251437947,0.0007691715662073925
1765.5,0.0004946617803506612,0.0006661865167222406,0.0008808069199924447
1766.5,0.0005619370686969632,0.0007551240618921748,0.0010028502802217794
1767.5,0.0006324285179422247,0.0008477783755967382,0.0011242981089663942
1768.5,0.0007154121469151349,0.0009575467210154696,0.0012647730240913646
1769.5,0.0008087725993446912,0.0010807265153457285,0.0014246534896166438
1770.5,0.000900810410200608,0.0012051666664621014,0.0015855825933503483
1771.5,0.000991786305894634,0.001327097404471983,0.0017488367346850092
1772.5,0.0010806498573910465,0.0014448778531507278,0.0019147306037402764
1773.5,0.001173481456076892,0.0015657312161278247,0.0020809765169826216
1774.5,0.0012854304504243963,0.0017096614864197807,0.0022668120093591454
1775.5,0.0014159964602282887,0.0018824093993088514,0.0024907089092043866
1776.5,0.0015536543843227071,0.0020657169848484185,0.00273826476978678
1777.5,0.0017012326661683883,0.0022610417738486276,0.0030053188087527105
1778.5,0.0018654538694099082,0.0024802616523387153,0.0033018464577779516
1779.5,0.0020421564611933785,0.002716815827475773,0.0036204851543318456
1780.5,0.0022309838033834906,0.0029710762358051562,0.003959097256427926
1781.5,0.0024316149323874298,0.003237149643136622,0.004316173635210096
1782.5,0.0026324306088913937,0.0035079957527625744,0.00467984927586701
1783.5,0.002829092541203719,0.0037784761098880043,0.005046685620044761
1784.5,0.0030224438351984656,0.00403625250605201,0.00541520337201426
1785.5,0.003217689965392019,0.004298260977964763,0.005780201817793235
1786.5,0.0034164847369652276,0.004569003675673644,0.006136659986547305
1787.5,0.003618760753943533,0.0048423998285228725,0.006498775150370763
1788.5,0.0038371227048359675,0.005137378557267355,0.006891689444089653
1789.5,0.004066607305043981,0.0054470009216789975,0.00730145370563158
1790.5,0.004291772868610329,0.005751351854026192,0.007711940958967031
1791.5,0.00450807649725099,0.006049428430610133,0.008114579808701741
1792.5,0.004716618920588035,0.0063337396936614596,0.008492565233326893
1793.5,0.00491858762512426,0.006605280438022859,0.008855266184232435
1794.5,0.005121963245215475,0.0068793548642682445,0.009236664986018259
1795.5,0.005327466400017195,0.007151778690734002,0.009635952827048905
1796.5,0.00551948171404464,0.007407702223885204,0.010016404903303203
1797.5,0.005701793563834608,0.0076610615224873,0.010362541008222039
1798.5,0.0058883302244327265,0.007925333332717,0.01069115701356276
1799.5,0.006081460621076985,0.008187505878863112,0.011016224230958754
1800.5,0.006273350085523443,0.008444387823453442,0.011355213617520461
1801.5,0.006464118863491249,0.008699093369386455,0.01170360630984367
1802.5,0.006659595514501156,0.008960613226437068,0.01205281766681407
1803.5,0.0068499703869408495,0.009230714314744107,0.012419396244953557
1804.5,0.007037686448982082,0.009498978653714567,0.012793325428995056
1805.5,0.007237509382777903,0.009770346772981574,0.013166774852870225
1806.5,0.00744852396849769,0.010047233586734289,0.01356748287673322
1807.5,0.007666087400951052,0.010335219758007878,0.013987907074700281
1808.5,0.007896259808123175,0.010651210513421668,0.014413967616812073
1809.5,0.00814170407753554,0.010990367771534823,0.014862684889872455
1810.5,0.008397408957080195,0.011337515565735534,0.015346202237128792
1811.5,0.00865346662228629,0.011687653490791969,0.015853585850175822
1812.5,0.008898072019606067,0.01203591611107413,0.016342827401982243
1813.5,0.009134766413981442,0.012382342852005679,0.016805757016484915
1814.5,0.009386129128099704,0.012735796809987432,0.01727272446276612
1815.5,0.009655565087855672,0.013102180259363175,0.017757741254024073
1816.5,0.00993239592556916,0.013474393584605115,0.0182564203022349
1817.5,0.010218888794092884,0.01385280212510287,0.018781041253420616
1818.5,0.01051426981190029,0.014243833593255872,0.019329630859934208
1819.5,0.010813139431508467,0.01464299246947122,0.01988580168843236
1820.5,0.0111146764238442,0.015046805165180727,0.02044833618037907
1821.5,0.011420806470235925,0.015461035049884355,0.021020792665646992
1822.5,0.011730059150593039,0.015878945273690926,0.02160019337479617
1823.5,0.0120396095034212,0.01628044754780212,0.022183065009341224
1824.5,0.012340276337953225,0.01668127786844903,0.022770377141821854
1825.5,0.012637841149674693,0.017106642465210216,0.023371655523834092
1826.5,0.012942974077220898,0.017546693409400446,0.023978754049477732
1827.5,0.01325649136837834,0.017987519340514277,0.024588168690869126
1828.5,0.013588568136229077,0.018440654909916095,0.025224731938467665
1829.5,0.013939862558844524,0.018915222737393142,0.025895199164917712
1830.5,0.01430385112615435,0.019404782468556543,0.02658710552840972
1831.5,0.014671441422652011,0.019902795152440138,0.027275861125301025
1832.5,0.015036301077114705,0.020400132147541966,0.02795496182016849
